title,name,contents
1,[단독]그래픽 자격증 따려면 10년전 소프트웨어로 시험 보라고?,"컴퓨터그래픽스운용기능사 시험이 약 10년 전 출시한 소프트웨어(SW)버전으로 실기시험을 치르고 있는 것으로 나타났다. 이에 현재 많은 사람들이 한국산업인력공단에 이 문제에 대해 민원을 제기하고 있지만, 공단..."
2,"대구소프트웨어마이스터고, 배달의 민족과의 MOU체결!","사진제공=대구교육청 대구소프트웨어마이스터고등학교(교장 안병규)는 미래 IT 산업 현장에서 활약할... 협약에 참여한 고등학교는 대구소프트웨어마이스터고를 포함한 관련 학교 총 7개교이며, 양 측은 8일 서울 송파구..."
3,"나무기술, 베트남 기업 FPT 소프트웨어 코리아와 아태 지역 진출 시동 건다",나무기술(대표 정철)이 FPT소프트웨어코리아와 해외사업 협력 협약을 맺고 아시아태평양 지역과 국내 시장... FPT소프트웨어는 베트남을 기반으로 기술·정보기술(IT) 서비스를 제공하는 글로벌기업이다. 25개국에서...
4,소프트웨어 기업으로 변신 꾀하는 독일차,자회사 '카.소프트웨어'(Car.Software)를 설립할 계획이다. 폭스바겐 CEO 헤르베르트 디스는 조만간 1만명을 고용해 SAT에 이은 유럽 2위 규모의 소프트웨어기업을 만든다. 이 자회사의 주요 임무는 모든 폭스바겐 차에 탑재될...
5,경북소프트웨어고등학교 개교 한 달만에 '2021 경북기능경기대회'에서 7명 입...,경북소프트웨어고등학교(교장 황창기)는 지난 5일부터 4일간 구미에서 열린 '2021경북기능경기대회'에서 개교 한 달만에 게임 개발 및 클라우드 컴퓨팅 분야에서 7명이 입상했다. 지난 3월 경북 유일의 소프트웨어 분야...
6,"에어스메디컬, KIMES 2021서 AI 기반 MRI 영상 복원 소프트웨어 'SwiftMR' 소...",에어스메디컬은 3월 18일(목)부터 21일(일)까지 열린 제36회 국제의료기기&병원설비전시회 'KIMES 2021'에 참가해 AI 기반 MRI 영상 복원 소프트웨어 'SwiftMR'을 소개했다. 에어스메디컬은 의료인공지능 스타트업이다....
7,[스타트업 법률상식 50] 소프트웨어 저작권의 확보방안에 대하여,"최근 소프트웨어 저작권 귀속이 계속적으로 문제되고 있는 실정이다. 그러므로 기업들로서는 사전에 이 같은... 선고 95다29130 판결), 기업들로서는 전문가에 의한 충분한 검토를 통해 개발된 소프트웨어의 저작권 양도..."
8,소프트웨어 도입대가의 구별기준,서론 대상판결에서는 '내국법인이 외국법인으로부터 수입하는 소프트웨어 대가의 법적성격'이 무엇인지... 사실관계 원고는 소프트웨어 개발회사인 미국 PTC 그룹의 자회사로서 PTC와 소프트웨어 배급계약을 체결한 다음...
9,쑥쑥 크는 서비스형 소프트웨어 시장…1천억달러 해외시장 정조준,뉴스토마토 = 김동현 기자 | 기업 서비스형소프트웨어(SaaS) 시장이 성장을 거듭하는 가운데 사업자들의... 사진/한글과컴퓨터 클라우드상에서 특정 기간 이용 구독료를 내고 소프트웨어를 빌려서 활용하는 SaaS 산업은...
10,동아고-부산대 소프트웨어 교육 협약소프트웨어 교육 협약,동아고-부산대 소프트웨어 교육 협약. 부산 동아고등학교(교장 백성언)와 부산대학교 소프트웨어교육센터(센터장 염근혁 정보컴퓨터공학부 교수)는 지난 9일 부산대 과학기술연구동에서 소프트웨어 교육을 위한...
